date,open,high,low,close,volume,openint,etf_close,etf_vol,MA7,MA21,RSI,MACD,Target
2010-01-08,20.796,21.085,20.683,21.085,2504,0,159.0,414742.0,20.559,20.206809523809525,64.91408934707906,0.34554347806339436,20.48
2010-01-11,20.849,21.093,20.217,20.48,5541,0,160.21,234615.0,20.594285714285714,20.229809523809525,62.52896391923205,0.3220719888174344,20.664
2010-01-12,20.295,20.779,19.925,20.664,9100,0,157.16,435686.0,20.658142857142856,20.27204761904762,63.58957864265038,0.3146903720142724,20.83
2010-01-13,20.664,20.83,20.489,20.83,4779,0,158.03,366974.0,20.744571428571426,20.320999999999998,60.65345846367742,0.3185630041825718,20.655
2010-01-14,20.734,20.83,20.41,20.655,5370,0,161.45,228494.0,20.71557142857143,20.35157142857143,59.09244835760248,0.30400665611861655,20.655
2010-01-15,20.541,20.655,20.524,20.655,2504,0,160.25,189940.0,20.721714285714288,20.365809523809524,62.61212773591674,0.289137646597073,20.655
2010-01-19,20.647,20.655,20.277,20.655,1706,0,165.12,295936.0,20.717714285714287,20.386285714285716,61.99854121079505,0.2741931217970368,20.629
2010-01-20,20.532,20.637,20.443,20.629,1478,0,163.22,438217.0,20.65257142857143,20.40590476190476,58.08477237048669,0.2572856665058758,20.41
2010-01-21,20.567,20.655,20.217,20.41,5233,0,159.79,247609.0,20.642571428571426,20.43861904761905,53.21701199563794,0.22363696886743512,20.541
2010-01-22,20.217,20.594,20.137,20.541,2859,0,154.88,190081.0,20.625,20.473,55.652477320307064,0.2051756021265767,20.435
2010-01-25,20.47,20.48,20.277,20.435,5242,0,155.19,165209.0,20.56857142857143,20.48338095238095,53.54251012145744,0.179917544399391,19.556
2010-01-26,20.18,20.18,19.556,19.556,7157,0,153.52,387502.0,20.411571428571428,20.456619047619046,29.71962616822431,0.08795846732653345,19.336
2010-01-27,19.547,19.556,19.336,19.336,6029,0,149.99,247550.0,20.223142857142857,20.427285714285716,29.962311557788965,-0.0026414758767216995,19.249
2010-01-28,19.336,19.76,19.091,19.249,1786,0,151.21,179953.0,20.022285714285715,20.39166666666667,27.593749999999986,-0.08053440601172923,18.897
2010-01-29,19.258,19.258,18.897,18.897,2331,0,150.47,127569.0,19.77485714285714,20.328809523809525,15.269841269841208,-0.16872363154757153,18.633
2010-02-01,19.03,19.073,18.625,18.633,2477,0,155.06,110700.0,19.520999999999997,20.25261904761905,17.123531505873927,-0.25695480675032556,18.897
2010-02-02,18.51,19.118,18.51,18.897,7076,0,158.4,176481.0,19.286142857142856,20.189761904761905,19.41848390446512,-0.3020937069034737,19.002
2010-02-03,18.966,19.073,18.943,19.002,1250,0,157.7,77292.0,19.08142857142857,20.13152380952381,17.680339462517694,-0.3256402103635949,18.633
2010-02-04,18.801,18.897,18.633,18.633,2845,0,150.41,182022.0,18.949571428571428,20.02557142857143,16.54533421575114,-0.3698132234977223,18.625
2010-02-05,18.565,18.633,18.457,18.625,912,0,148.02,254832.0,18.848000000000003,19.93095238095238,16.5016501650165,-0.4008454905002701,18.51
2010-02-08,18.555,18.633,18.476,18.51,1706,0,147.1,91013.0,18.742428571428572,19.827476190476187,15.898251192368846,-0.4297642695991293,18.457
2010-02-09,18.485,18.485,18.457,18.457,3412,0,150.25,109631.0,18.67957142857143,19.702333333333335,15.762925598991174,-0.45175175442474114,17.614
2010-02-10,18.476,18.476,17.614,17.614,10411,0,151.34,58902.0,18.534,19.56585714285714,13.171759747102215,-0.5310781114314196,17.789
2010-02-11,17.789,17.789,17.789,17.789,114,0,152.94,80937.0,18.375714285714285,19.42895238095238,14.166666666666671,-0.5732161049673508,17.596
2010-02-12,17.614,17.781,17.596,17.596,1250,0,151.45,52458.0,18.174857142857142,19.27495238095238,13.852813852813867,-0.6150938365984366,17.596
2010-02-16,17.579,17.765,17.562,17.596,1935,0,153.7,128104.0,18.026714285714288,19.129285714285714,17.847769028871397,-0.6408944088267994,17.579
2010-02-17,17.579,17.807,17.579,17.579,1250,0,153.12,97054.0,17.877285714285716,18.982809523809525,19.121265377855906,-0.6551610177370328,17.596
2010-02-18,17.562,17.667,17.288,17.596,5614,0,153.23,89324.0,17.746714285714287,18.837142857142858,20.216216216216225,-0.6575162125500427,17.316
2010-02-19,17.439,17.439,17.316,17.316,927,0,153.37,89731.0,17.583714285714287,18.679380952380953,20.754716981132077,-0.674204570736304,17.676
2010-02-22,17.403,17.676,17.262,17.676,31036,0,152.57,56601.0,17.59257142857143,18.54919047619048,32.90460878885315,-0.6508783035519059,17.676
2010-02-23,17.535,17.701,17.535,17.676,2077,0,151.46,105010.0,17.576428571428572,18.412761904761904,25.917159763313606,-0.6251853215293508,17.93
2010-02-24,17.965,18.107,17.596,17.93,7117,0,150.37,92640.0,17.624142857142857,18.29347619047619,30.029806259314483,-0.5776687649985242,17.394
2010-02-25,17.579,17.756,17.097,17.394,7202,0,153.11,96583.0,17.595285714285712,18.190523809523807,28.27078218169065,-0.5766154085712536,18.906
2010-02-26,17.394,19.215,17.384,18.906,32412,0,154.08,27752.0,17.784857142857142,18.17004761904762,53.22617680826635,-0.44860362893654226,17.957
2010-03-01,18.897,18.897,17.798,17.957,13539,0,154.65,90501.0,17.83642857142857,18.10852380952381,44.671420312198876,-0.4189009112291586,18.08
2010-03-02,17.816,18.343,17.765,18.08,3762,0,157.0,173507.0,17.945571428571427,18.069619047619046,46.415668378018616,-0.3810437858318707,17.465
2010-03-03,18.211,18.371,17.316,17.465,32693,0,157.75,67638.0,17.91542857142857,18.014,48.5191810773206,-0.39610109458519815,17.43
2010-03-04,17.316,17.71,17.307,17.43,15245,0,158.21,205221.0,17.880285714285716,17.944142857142857,46.329993866285,-0.4061761815619107,17.458
2010-03-05,17.535,17.64,17.271,17.458,13490,0,157.62,82224.0,17.812857142857144,17.870619047619048,48.5399915361828,-0.4072073615970879,17.588
2010-03-08,17.588,17.71,17.367,17.588,16839,0,159.82,106838.0,17.84057142857143,17.820857142857143,49.917627677100505,-0.3930043560793841,17.658
2010-03-09,17.701,17.756,17.596,17.658,3777,0,158.91,129980.0,17.662285714285712,17.774809523809523,50.804644530454276,-0.3718139174990789,17.42
2010-03-10,17.798,17.938,17.42,17.42,5729,0,159.38,182845.0,17.58557142857143,17.722904761904765,48.28460038986356,-0.3699602813749223,18.185
2010-03-11,17.42,18.238,17.384,18.185,6569,0,161.02,38607.0,17.60057142857143,17.709952380952384,57.738201246660736,-0.3032662897520062,18.116
2010-03-12,18.194,18.678,18.116,18.116,3298,0,160.54,52424.0,17.693571428571428,17.733857142857143,54.132231404958695,-0.25306140982234737,18.493
2010-03-15,18.194,18.723,18.194,18.493,3682,0,161.99,61896.0,17.845428571428574,17.767380952380954,57.16540957726716,-0.18076913740085132,19.496
2010-03-16,19.196,19.786,19.082,19.496,47410,0,163.08,75263.0,18.13657142857143,17.857857142857142,62.139534883720934,-0.04205844946491055,19.601
2010-03-17,19.662,19.997,19.496,19.601,24005,0,162.68,69996.0,18.424142857142858,17.953333333333333,68.3336102342582,0.07547338238763501,19.584
2010-03-18,19.742,19.866,19.469,19.584,10269,0,162.53,13523.0,18.69928571428571,18.048809523809524,57.49336870026528,0.165340505549743,19.601
2010-03-19,19.513,20.005,19.496,19.601,10724,0,160.77,213288.0,19.01085714285714,18.14428571428571,72.88418708240538,0.2352211233485484,19.819
2010-03-22,19.654,20.102,19.601,19.819,7623,0,159.56,137921.0,19.244285714285713,18.26347619047619,73.58285869270415,0.30468062591629064,19.714
2010-03-23,19.916,20.118,19.697,19.714,18310,0,160.73,79616.0,19.472571428571428,18.36052380952381,85.39502675480016,0.34725225184923403,19.866
2010-03-24,19.714,19.866,19.513,19.866,16024,0,157.72,137857.0,19.668714285714284,18.46480952380952,86.97632058287799,0.38877415533687554,19.513
2010-03-25,19.856,19.866,19.355,19.513,32936,0,160.02,163898.0,19.671142857142858,18.540190476190475,78.39182094501251,0.3887155423390247,19.293
2010-03-26,19.645,19.793,19.161,19.293,36719,0,159.53,171236.0,19.627142857142854,18.630619047619046,72.98463197627393,0.36668995617445077,19.469
2010-03-29,19.188,19.469,19.143,19.469,5759,0,162.8,156317.0,19.610714285714288,18.657428571428575,73.73525557011797,0.35929452591816613,19.505
2010-03-30,19.469,19.556,19.381,19.505,27947,0,161.95,56396.0,19.597,18.73114285714286,78.85413783559369,0.35227765576389203,19.469
2010-03-31,19.601,19.636,19.03,19.469,15140,0,164.29,110442.0,19.547,18.797285714285714,72.26074895977816,0.3398937528707826,19.416
2010-04-01,19.39,19.584,19.336,19.416,8618,0,166.77,81639.0,19.504428571428573,18.890190476190476,72.66387726638774,0.32208991154004707,19.328
2010-04-05,19.346,19.424,18.906,19.328,18263,0,170.43,99670.0,19.42757142857143,18.980571428571427,66.1884451337728,0.2974505496821749,19.161
2010-04-06,19.336,19.469,19.048,19.161,5149,0,170.04,69380.0,19.377285714285712,19.061666666666667,40.390131956397084,0.26143451917037197,18.906
2010-04-07,19.24,19.24,18.906,18.906,2284,0,170.18,74726.0,19.322,19.12442857142857,31.642894875858417,0.2098956403457919,18.633
2010-04-08,18.897,18.925,18.633,18.633,9605,0,171.16,55714.0,19.202571428571428,19.17085714285714,27.873429502093998,0.14534642599210912,19.336
